Sigla;Código;Município;esperança_vida;
MG;3160702;Santos Dumont;75,84;
MG;3160801;São Bento Abade;73,03;
MG;3160900;São Brás do Suaçuí;73,04;
MG;3160959;São Domingos das Dores;73,01;
MG;3161007;São Domingos do Prata;74,36;
MG;3161056;São Félix de Minas;72,68;
MG;3161106;São Francisco;73,26;
MG;3161205;São Francisco de Paula;73,69;
MG;3161304;São Francisco de Sales;77,01;
MG;3161403;São Francisco do Glória;74,96;
MG;3161502;São Geraldo;74,85;
MG;3161601;São Geraldo da Piedade;71,43;
MG;3161650;São Geraldo do Baixio;74,43;
MG;3161700;São Gonçalo do Abaeté;72,75;
MG;3161809;São Gonçalo do Pará;75,53;
MG;3161908;São Gonçalo do Rio Abaixo;72,52;
MG;3162005;São Gonçalo do Sapucaí;75,99;
MG;3162104;São Gotardo;76,27;
MG;3162203;São João Batista do Glória;75,69;
MG;3162252;São João da Lagoa;73,78;
MG;3162302;São João da Mata;74,29;
MG;3162401;São João da Ponte;72,17;
MG;3162450;São João das Missões;71,57;
MG;3162500;São João del Rei;76,57;
MG;3162559;São João do Manhuaçu;75,16;
MG;3162575;São João do Manteninha;73,3;
MG;3162609;São João do Oriente;73,32;
MG;3162658;São João do Pacuí;72,85;
MG;3162708;São João do Paraíso;73,46;
MG;3162807;São João Evangelista;73,37;
MG;3162906;São João Nepomuceno;75,98;
MG;3162922;São Joaquim de Bicas;75,62;
MG;3162948;São José da Barra;77,56;
MG;3162955;São José da Lapa;75,63;
MG;3163003;São José da Safira;70,91;
MG;3163102;São José da Varginha;76,41;
MG;3163201;São José do Alegre;75,2;
MG;3163300;São José do Divino;71,7;
MG;3163409;São José do Goiabal;73,83;
MG;3163508;São José do Jacuri;69,96;
MG;3163607;São José do Mantimento;74,36;
MG;3163706;São Lourenço;77,28;
MG;3163805;São Miguel do Anta;74,7;
MG;3163904;São Pedro da União;75,16;
MG;3164001;São Pedro dos Ferros;72,34;
MG;3164100;São Pedro do Suaçuí;72,08;
MG;3164209;São Romão;72,22;
MG;3164308;São Roque de Minas;75,27;
MG;3164407;São Sebastião da Bela Vista;75,87;
MG;3164431;São Sebastião da Vargem Alegre;74,64;
MG;3164472;São Sebastião do Anta;70,98;
MG;3164506;São Sebastião do Maranhão;73,94;
MG;3164605;São Sebastião do Oeste;74,9;
MG;3164704;São Sebastião do Paraíso;75,15;
MG;3164803;São Sebastião do Rio Preto;73,55;
MG;3164902;São Sebastião do Rio Verde;75,71;
MG;3165008;São Tiago;74,48;
MG;3165107;São Tomás de Aquino;77,46;
MG;3165206;São Thomé das Letras;73,03;
MG;3165305;São Vicente de Minas;75,72;
MG;3165404;Sapucaí-Mirim;75,49;
MG;3165503;Sardoá;73,71;
MG;3165537;Sarzedo;77,28;
MG;3165552;Setubinha;69,6;
MG;3165560;Sem-Peixe;74,57;
MG;3165578;Senador Amaral;74,25;
MG;3165602;Senador Cortes;75,05;
MG;3165701;Senador Firmino;74,75;
MG;3165800;Senador José Bento;74,41;
MG;3165909;Senador Modestino Gonçalves;71,94;
MG;3166006;Senhora de Oliveira;73,03;
MG;3166105;Senhora do Porto;73,1;
MG;3166204;Senhora dos Remédios;71,56;
MG;3166303;Sericita;71,56;
MG;3166402;Seritinga;76,17;
MG;3166501;Serra Azul de Minas;73,55;
MG;3166600;Serra da Saudade;76,78;
MG;3166709;Serra dos Aimorés;72,06;
MG;3166808;Serra do Salitre;76,11;
MG;3166907;Serrania;75;
MG;3166956;Serranópolis de Minas;71,38;
MG;3167004;Serranos;75,05;
MG;3167103;Serro;75,01;
MG;3167202;Sete Lagoas;75,37;
MG;3167301;Silveirânia;75,45;
MG;3167400;Silvianópolis;76,87;
MG;3167509;Simão Pereira;75,57;
MG;3167608;Simonésia;74,36;
MG;3167707;Sobrália;73,28;
MG;3167806;Soledade de Minas;74,88;
MG;3167905;Tabuleiro;74,27;
MG;3168002;Taiobeiras;73,9;
MG;3168051;Taparuba;72,91;
MG;3168101;Tapira;75,8;
MG;3168200;Tapiraí;75,84;
MG;3168309;Taquaraçu de Minas;74,06;
MG;3168408;Tarumirim;74,72;
MG;3168507;Teixeiras;73,26;
MG;3168606;Teófilo Otoni;74,45;
MG;3168705;Timóteo;75,14;
MG;3168804;Tiradentes;78,1;
MG;3168903;Tiros;76,13;
MG;3169000;Tocantins;72,99;
MG;3169059;Tocos do Moji;73,49;
MG;3169109;Toledo;73,14;
MG;3169208;Tombos;77,23;
MG;3169307;Três Corações;76,28;
MG;3169356;Três Marias;76,93;
MG;3169406;Três Pontas;75,98;
MG;3169505;Tumiritinga;74,63;
MG;3169604;Tupaciguara;76,78;
MG;3169703;Turmalina;73,98;
MG;3169802;Turvolândia;74,71;
MG;3169901;Ubá;75,45;
MG;3170008;Ubaí;72,22;
MG;3170057;Ubaporanga;73,32;
MG;3170107;Uberaba;75,71;
MG;3170206;Uberlândia;78,09;
MG;3170305;Umburatiba;73,88;
MG;3170404;Unaí;75,83;
MG;3170438;União de Minas;74,73;
MG;3170479;Uruana de Minas;72,6;
MG;3170503;Urucânia;73,67;
MG;3170529;Urucuia;71,88;
MG;3170578;Vargem Alegre;74,12;
MG;3170602;Vargem Bonita;75,8;
MG;3170651;Vargem Grande do Rio Pardo;73,63;
MG;3170701;Varginha;77,49;
MG;3170750;Varjão de Minas;75,79;
MG;3170800;Várzea da Palma;73,83;
MG;3170909;Varzelândia;73,37;
MG;3171006;Vazante;76,96;
MG;3171030;Verdelândia;72,81;
MG;3171071;Veredinha;72,11;
MG;3171105;Veríssimo;77,16;
MG;3171154;Vermelho Novo;72,37;
MG;3171204;Vespasiano;73,65;
MG;3171303;Viçosa;77,96;
MG;3171402;Vieiras;73,47;
MG;3171501;Mathias Lobato;72,71;
MG;3171600;Virgem da Lapa;72,83;
MG;3171709;Virgínia;74,73;
MG;3171808;Virginópolis;74,86;
MG;3171907;Virgolândia;72,71;
MG;3172004;Visconde do Rio Branco;75,97;
MG;3172103;Volta Grande;75,45;
MG;3172202;Wenceslau Braz;75,53;
