Sigla;Código;Município;taxa;
MG;3158706;Santana do Garambéu;11,9;
MG;3158805;Santana do Jacaré;10,34;
MG;3158904;Santana do Manhuaçu;11,55;
MG;3158953;Santana do Paraíso;3,58;
MG;3159001;Santana do Riacho;7,81;
MG;3159100;Santana dos Montes;8,27;
MG;3159209;Santa Rita de Caldas;5,66;
MG;3159308;Santa Rita de Jacutinga;8,45999999999999;
MG;3159357;Santa Rita de Minas;9,91;
MG;3159407;Santa Rita de Ibitipoca;10,48;
MG;3159506;Santa Rita do Itueto;13,27;
MG;3159605;Santa Rita do Sapucaí;5,53;
MG;3159704;Santa Rosa da Serra;11,06;
MG;3159803;Santa Vitória;8,22;
MG;3159902;Santo Antônio do Amparo;9,53;
MG;3160009;Santo Antônio do Aventureiro;8,91;
MG;3160108;Santo Antônio do Grama;9,05;
MG;3160207;Santo Antônio do Itambé;20,66;
MG;3160306;Santo Antônio do Jacinto;22,9;
MG;3160405;Santo Antônio do Monte;4,77;
MG;3160454;Santo Antônio do Retiro;23,29;
MG;3160504;Santo Antônio do Rio Abaixo;11,14;
MG;3160603;Santo Hipólito;10,72;
MG;3160702;Santos Dumont;5,06;
MG;3160801;São Bento Abade;9,48999999999999;
MG;3160900;São Brás do Suaçuí;3,91;
MG;3160959;São Domingos das Dores;10,82;
MG;3161007;São Domingos do Prata;9,04000000000001;
MG;3161056;São Félix de Minas;16,04;
MG;3161106;São Francisco;12,51;
MG;3161205;São Francisco de Paula;10,71;
MG;3161304;São Francisco de Sales;7,73999999999999;
MG;3161403;São Francisco do Glória;11,13;
MG;3161502;São Geraldo;7,89;
MG;3161601;São Geraldo da Piedade;15,77;
MG;3161650;São Geraldo do Baixio;15,44;
MG;3161700;São Gonçalo do Abaeté;9,09999999999999;
MG;3161809;São Gonçalo do Pará;4,88;
MG;3161908;São Gonçalo do Rio Abaixo;6,51000000000001;
MG;3162005;São Gonçalo do Sapucaí;5,56;
MG;3162104;São Gotardo;5,41;
MG;3162203;São João Batista do Glória;5,42;
MG;3162252;São João da Lagoa;11,31;
MG;3162302;São João da Mata;6,3;
MG;3162401;São João da Ponte;21,7;
MG;3162450;São João das Missões;20,02;
MG;3162500;São João del Rei;2,76000000000001;
MG;3162559;São João do Manhuaçu;9,02;
MG;3162575;São João do Manteninha;13,28;
MG;3162609;São João do Oriente;12,71;
MG;3162658;São João do Pacuí;17,09;
MG;3162708;São João do Paraíso;20,65;
MG;3162807;São João Evangelista;11,39;
MG;3162906;São João Nepomuceno;3,19;
MG;3162922;São Joaquim de Bicas;6,52;
MG;3162948;São José da Barra;5,39;
MG;3162955;São José da Lapa;3,41;
MG;3163003;São José da Safira;16,35;
MG;3163102;São José da Varginha;6,31999999999999;
MG;3163201;São José do Alegre;4,28;
MG;3163300;São José do Divino;15,86;
MG;3163409;São José do Goiabal;9,58;
MG;3163508;São José do Jacuri;14,48;
MG;3163607;São José do Mantimento;10,09;
MG;3163706;São Lourenço;2,64;
MG;3163805;São Miguel do Anta;11,07;
MG;3163904;São Pedro da União;6,70999999999999;
MG;3164001;São Pedro dos Ferros;9,91;
MG;3164100;São Pedro do Suaçuí;13,79;
MG;3164209;São Romão;10,14;
MG;3164308;São Roque de Minas;5,75;
MG;3164407;São Sebastião da Bela Vista;8,93000000000001;
MG;3164431;São Sebastião da Vargem Alegre;7,8;
MG;3164472;São Sebastião do Anta;14,47;
MG;3164506;São Sebastião do Maranhão;17,68;
MG;3164605;São Sebastião do Oeste;6,81999999999999;
MG;3164704;São Sebastião do Paraíso;4,67;
MG;3164803;São Sebastião do Rio Preto;8,33;
MG;3164902;São Sebastião do Rio Verde;4,26000000000001;
MG;3165008;São Tiago;5,25;
MG;3165107;São Tomás de Aquino;7,5;
MG;3165206;São Thomé das Letras;8,13;
MG;3165305;São Vicente de Minas;5,3;
MG;3165404;Sapucaí-Mirim;7,05;
MG;3165503;Sardoá;14,32;
MG;3165537;Sarzedo;3,22;
MG;3165552;Setubinha;22,87;
MG;3165560;Sem-Peixe;12,26;
MG;3165578;Senador Amaral;7,53;
MG;3165602;Senador Cortes;9,67;
MG;3165701;Senador Firmino;6,92;
MG;3165800;Senador José Bento;6,09999999999999;
MG;3165909;Senador Modestino Gonçalves;16,53;
MG;3166006;Senhora de Oliveira;9,06;
MG;3166105;Senhora do Porto;15,93;
MG;3166204;Senhora dos Remédios;8,09999999999999;
MG;3166303;Sericita;13,42;
MG;3166402;Seritinga;5,34999999999999;
MG;3166501;Serra Azul de Minas;22,31;
MG;3166600;Serra da Saudade;8,95999999999999;
MG;3166709;Serra dos Aimorés;14,91;
MG;3166808;Serra do Salitre;5,55;
MG;3166907;Serrania;8,88;
MG;3166956;Serranópolis de Minas;17,71;
MG;3167004;Serranos;11,48;
MG;3167103;Serro;12,46;
MG;3167202;Sete Lagoas;3;
MG;3167301;Silveirânia;10,36;
MG;3167400;Silvianópolis;10,78;
MG;3167509;Simão Pereira;5,65000000000001;
MG;3167608;Simonésia;11,66;
MG;3167707;Sobrália;14,69;
MG;3167806;Soledade de Minas;5,75;
MG;3167905;Tabuleiro;11,22;
MG;3168002;Taiobeiras;13,71;
MG;3168051;Taparuba;14,33;
MG;3168101;Tapira;5,2;
MG;3168200;Tapiraí;9,26000000000001;
MG;3168309;Taquaraçu de Minas;9,63;
MG;3168408;Tarumirim;12,02;
MG;3168507;Teixeiras;9,11;
MG;3168606;Teófilo Otoni;9,05;
MG;3168705;Timóteo;3,12;
MG;3168804;Tiradentes;4,34999999999999;
MG;3168903;Tiros;5,44;
MG;3169000;Tocantins;6,09999999999999;
MG;3169059;Tocos do Moji;8,75;
MG;3169109;Toledo;9,02;
MG;3169208;Tombos;7,61;
MG;3169307;Três Corações;4,97;
MG;3169356;Três Marias;5,81999999999999;
MG;3169406;Três Pontas;5,47;
MG;3169505;Tumiritinga;10,96;
MG;3169604;Tupaciguara;6,18000000000001;
MG;3169703;Turmalina;10,68;
MG;3169802;Turvolândia;6,98999999999999;
MG;3169901;Ubá;3,92;
MG;3170008;Ubaí;12,96;
MG;3170057;Ubaporanga;10,09;
MG;3170107;Uberaba;3,13;
MG;3170206;Uberlândia;2,87;
MG;3170305;Umburatiba;19,59;
MG;3170404;Unaí;5,65000000000001;
MG;3170438;União de Minas;12,27;
MG;3170479;Uruana de Minas;12,11;
MG;3170503;Urucânia;11,35;
MG;3170529;Urucuia;8,56;
MG;3170578;Vargem Alegre;13,72;
MG;3170602;Vargem Bonita;4,84999999999999;
MG;3170651;Vargem Grande do Rio Pardo;19,38;
MG;3170701;Varginha;3,19;
MG;3170750;Varjão de Minas;5,90000000000001;
MG;3170800;Várzea da Palma;8,33;
MG;3170909;Varzelândia;17,87;
MG;3171006;Vazante;4,51000000000001;
MG;3171030;Verdelândia;16,9;
MG;3171071;Veredinha;16,63;
MG;3171105;Veríssimo;8,65000000000001;
MG;3171154;Vermelho Novo;9,47;
MG;3171204;Vespasiano;3,58;
MG;3171303;Viçosa;4,2;
MG;3171402;Vieiras;9,77;
MG;3171501;Mathias Lobato;12,83;
MG;3171600;Virgem da Lapa;14,81;
MG;3171709;Virgínia;8,33;
MG;3171808;Virginópolis;8,58;
MG;3171907;Virgolândia;16,8;
MG;3172004;Visconde do Rio Branco;5,97;
MG;3172103;Volta Grande;7,39;
MG;3172202;Wenceslau Braz;6,23999999999999;
